circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_20203	chr11:73418464-73429935|-	chr11:73707419-73718890|-	RAB6A	11471	NM_001243719	312	3	94,112,106	0,8831,11365	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_20314	chr13:76134888-76143643|+	chr13:75560752-75569507|+	UCHL3	8755	NM_006002	420	4	129,157,86,48	0,5942,6474,8707	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_20325	chr2:236839408-236877267|+	chr2:235930764-235968623|+	AGAP1	37859	NM_001037131	321	2	159,162	0,37697	Hs68	23249747
hsa_circ_20360	chr10:22193450-22218070|-	chr10:21904521-21929141|-	DNAJC1	24620	NM_022365	598	6	91,94,98,166,47,102	0,14257,15310,16276,23984,24518	glioblastoma,oligodendroma	26873924
hsa_circ_20534	chr9:88200377-88211364|-	chr9:85585462-85596449|-	AGTPBP1	10987	NM_015239	830	6	132,130,181,154,145,88	0,1368,2835,4065,7097,10899	normal brain tissue	26873924
hsa_circ_20556	chr10:7318853-7327916|-	chr10:7276891-7285954|-	SFMBT2	9063	NM_001029880	434	3	98,247,89	0,7012,8974	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293	25242744,26873924,23446348
hsa_circ_20633	chr3:169831147-169840532|-	chr3:170113359-170122744|-	PHC3	9385	NM_024947	565	3	160,251,154	0,3866,9231	H9 hESCs,Hs68,leukemia,leukocyte	25242744,23249747,22319583
hsa_circ_20654	chr2:215645283-215661841|-	chr2:214780559-214797117|-	BARD1	16558	NM_000465	1156	3	950,149,57	0,11737,16501	glioblastoma	26873924
hsa_circ_20880	chr5:133494145-133509713|-	chr5:134158454-134174022|-	SKP1	15568	NM_170679	456	4	141,144,74,97	0,2532,8715,15471	H9 hESCs,Hs68	25242744,23249747
hsa_circ_20883	chr3:138289159-138291774|-	chr3:138570317-138572932|-	CEP70	2615	NM_024491	470	4	181,124,91,74	0,716,948,2541	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_21020	chr3:157839891-157841780|+	chr3:158122102-158123991|+	RSRC1	1889	NM_001271834	322	2	196,126	0,1763	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_21056	chr7:23015828-23023664|-	chr7:22976209-22984045|-	FAM126A	7836	NM_032581	575	5	96,116,81,180,102	0,483,1131,2059,7734	H9 hESCs,Hs68	25242744,23249747
hsa_circ_21069	chr10:112352830-112358048|+	chr10:110593072-110598290|+	SMC3	5218	NM_005445	456	3	151,153,152	0,3325,5066	normal brain tissue	26873924
hsa_circ_21086	chr10:909682-931700|-	chr10:863742-885760|-	LARP4B	22018	NM_015155	469	4	141,148,60,120	0,380,20704,21898	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_21108	chr1:8674619-8716500|-	chr1:8614560-8656441|-	RERE	41881	NM_001042681	666	3	126,71,469	0,9749,41412	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_21209	chr5:167915606-167921655|+	chr5:168488601-168494650|+	RARS	6049	NM_002887	534	4	135,189,109,101	0,4057,5292,5948	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_21218	chr6:150147399-150174296|-	chr6:149826263-149853160|-	LRP11	26897	NM_032832	735	5	96,213,126,142,158	0,9821,11074,16719,26739	Hs68,leukemia	23249747,22319583
hsa_circ_21635	chr20:35421651-35467844|-	chr20:36793248-36839441|-	SOGA1	46193	NM_080627	4146	13	1351,71,72,252,168,105,231,126,141,1182,63,159,225	0,3633,4253,9607,11486,12604,15264,16733,19455,21877,24158,35805,45968	normal brain tissue	26873924
hsa_circ_21644	chr1:1158623-1159348|-	chr1:1223243-1223968|-	SDF4	725	NM_016547	251	2	114,137	0,588	normal brain tissue,glioblastoma,oligodendroma,cd_19	26873924,23446348
hsa_circ_21729	chr2:162223988-162251714|+	chr2:161367477-161395203|+	PSMD14	27726	NM_005805	723	7	72,120,71,151,108,75,126	0,306,2629,3694,17986,23626,27600	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_21738	chr5:78734832-78752841|-	chr5:79439009-79457018|-	HOMER1	18009	NM_004272	522	4	140,93,132,157	0,8043,11980,17852	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_21914	chr19:6230580-6270770|-	chr19:6230569-6270759|-	MLLT1	40190	NM_005934	408	3	144,83,181	0,31658,40009	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_22361	chr7:104782454-104787105|-	chr7:105142007-105146658|-	SRPK2	4651	NM_182691	922	4	483,247,26,166	0,1076,3275,4485	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_22421	chr20:42315491-42328684|+	chr20:43686851-43700044|+	MYBL2	13193	NM_002466	672	3	221,163,288	0,5305,12905	leukemia	22319583
hsa_circ_22432	chr7:148543561-148544397|-	chr7:148846469-148847305|-	EZH2	836	NM_152998	253	2	129,124	0,712	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_22452	chr1:32381495-32385259|-	chr1:31915894-31919658|-	PTP4A2	3764	NM_080391	782	2	93,689	0,3075	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_22457	chr14:57740961-57747140|+	chr14:57274243-57280422|+	AP5M1	6179	NM_018229	874	2	646,228	0,5951	normal brain tissue,oligodendroma,leukemia	26873924,22319583
hsa_circ_22475	chr11:46515157-46534363|-	chr11:46493607-46512813|-	AMBRA1	19206	NM_017749	449	4	101,81,180,87	0,516,14583,19119	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_22534	chr17:20921254-20931987|-	chr17:21017941-21028674|-	USP22	10733	NM_015276	519	4	170,102,114,133	0,1142,3171,10600	H9 hESCs	25242744
hsa_circ_22597	chr17:45741524-45745776|+	chr17:47664158-47668410|+	KPNB1	4252	NM_002265	438	3	111,102,225	0,898,4027	H9 hESCs,normal brain tissue,oligodendroma,HEK293,Hs68,leukemia	25242744,26873924,23446348,23249747,22319583
hsa_circ_22627	chr14:71511849-71524441|+	chr14:71045132-71057724|+	PCNX	12592	NM_014982	985	7	151,142,178,109,130,59,216	0,1831,2674,5519,6750,10371,12376	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_22659	chr13:111870025-111896641|+	chr13:111217678-111244294|+	ARHGEF7	26616	NM_001113511	482	4	202,89,95,96	0,15526,26193,26520	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_22676	chr1:243708811-243859018|-	chr1:243545509-243695716|-	AKT3	150207	NM_001206729	1205	10	88,215,129,123,69,66,132,145,112,126	0,7219,18210,27416,68161,69586,92101,100383,119262,150081	H9 hESCs,normal brain tissue,oligodendroma	25242744,26873924
hsa_circ_22706	chr20:34430494-34446303|+	chr20:35842572-35858381|+	PHF20	15809	NM_016436	337	3	172,85,80	0,4777,15729	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_22779	chr9:140705912-140712590|+	chr9:137811460-137818138|+	EHMT1	6678	NM_024757	828	7	155,168,145,78,116,87,79	0,1545,1925,2970,4486,5978,6599	H9 hESCs,normal brain tissue,oligodendroma,cd_19,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_22797	chr5:176636636-176639196|+	chr5:177209635-177212195|+	NSD1	2560	NM_172349	2560	1	2560	0	normal brain tissue	26873924
hsa_circ_22864	chr1:246490502-246498776|-	chr1:246327200-246335474|-	SMYD3	8274	NM_022743	303	3	137,58,108	0,3279,8166	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_22996	chr9:77631183-77632364|-	chr9:75016267-75017448|-	C9orf41	1181	NM_152420	360	2	164,196	0,985	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_23074	chr13:95686858-95715113|-	chr13:95034604-95062859|-	ABCC4	28255	NM_005845	660	5	135,106,173,90,156	0,9077,9661,18490,28099	glioblastoma,Hs68	26873924,23249747
hsa_circ_23081	chr6:149833290-149862722|-	chr6:149512154-149541586|-	PPIL4	29432	NM_139126	1157	11	148,97,112,67,125,117,97,143,118,65,68	0,5199,8905,12988,14497,21303,22523,23441,28787,29212,29364	normal brain tissue,oligodendroma,leukemia	26873924,22319583
hsa_circ_23098	chr12:124904502-124922542|-	chr12:124419956-124437996|-	NCOR2	18040	NM_006312	667	6	99,55,179,94,173,67	0,2544,6665,9656,10658,17973	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_23119	chr12:105321750-105322472|-	chr12:104927972-104928694|-	SLC41A2	722	NM_032148	722	1	722	0	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_23226	chr12:459786-465703|-	chr12:350620-356537|-	KDM5A	5917	NM_001042603	636	5	159,120,159,92,106	0,1584,3455,4537,5811	normal brain tissue	26873924
hsa_circ_23261	chr9:134305476-134314448|+	chr9:131430089-131439061|+	PRRC2B	8972	NM_013318	524	4	170,178,103,73	0,2527,6530,8899	glioblastoma	26873924
hsa_circ_23410	chr14:89041036-89044484|+	chr14:88574692-88578140|+	ZC3H14	3448	NM_001160104	418	3	161,101,156	0,1147,3292	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_23516	chr16:87782278-87795646|-	chr16:87748672-87762040|-	KLHDC4	13368	NM_001184856	407	4	137,99,79,92	0,6521,7726,13276	H9 hESCs,normal brain tissue,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_23526	chr1:240421244-240519208|+	chr1:240257944-240355908|+	FMN2	97964	NM_020066	793	8	88,62,92,130,147,60,121,93	0,36877,71131,71394,72658,75942,76164,97871	normal brain tissue,Hs68	26873924,23249747
hsa_circ_23610	chr1:40319641-40323089|-	chr1:39853969-39857417|-	TRIT1	3448	NM_017646	240	2	97,143	0,3305	H9 hESCs,normal brain tissue,oligodendroma,cd_34,Hs68	25242744,26873924,23446348,23249747
hsa_circ_23614	chr4:1231970-1235307|-	chr4:1238182-1241519|-	CTBP1	3337	NM_001012614	350	2	155,195	0,3142	H9 hESCs,glioblastoma	25242744,26873924
hsa_circ_23695	chr3:93722502-93722752|+	chr3:94003658-94003908|+	ARL13B	250	NM_001174150	250	1	250	0	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_23749	chr4:91229394-91321280|+	chr4:90308243-90400129|+	CCSER1	91886	NM_001145065	1644	3	1365,185,94	0,4619,91792	normal brain tissue	26873924
hsa_circ_23779	chr17:49057106-49064598|-	chr17:50979745-50987237|-	SPAG9	7492	NM_003971	596	5	172,149,68,81,126	0,2778,5177,5952,7366	normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	26873924,23446348,23249747
hsa_circ_23810	chr18:12493070-12546903|-	chr18:12493071-12546904|-	SPIRE1	53833	NM_001128626	817	6	130,87,165,78,126,231	0,2944,13405,19382,42404,53602	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_23906	chr13:100953713-100992513|+	chr13:100301459-100340259|+	PCCA	38800	NM_001127692	578	6	144,75,69,76,111,103	0,1464,5732,8373,29101,38697	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_23953	chr2:162036124-162081257|+	chr2:161179613-161224746|+	TANK	45133	NM_004180	569	5	148,109,119,77,116	0,23873,25061,44301,45017	glioblastoma	26873924
hsa_circ_23981	chr22:46125304-46136418|+	chr22:45729424-45740538|+	ATXN10	11114	NM_001167621	445	3	166,109,170	0,9306,10944	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_24011	chr5:109049220-109065214|+	chr5:109713519-109729513|+	MAN2A1	15994	NM_002372	572	3	255,145,172	0,2600,15822	H9 hESCs,normal brain tissue,oligodendroma,cd_19,cd_34,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_24042	chr5:94244955-94259726|-	chr5:94909250-94924021|-	MCTP1	14771	NM_024717	440	4	131,171,78,60	0,3555,8645,14711	Hs68	23249747
hsa_circ_24102	chr2:200213423-200246543|-	chr2:199348700-199381820|-	SATB2	33120	NM_001172509	827	4	473,103,124,127	0,19904,31663,32993	normal brain tissue	26873924
hsa_circ_24163	chr11:59426338-59426942|-	chr11:59658865-59659469|-	PATL1	604	NM_152716	299	2	81,218	0,386	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_24191	chr8:67504674-67514758|-	chr8:66592439-66602523|-	MYBL1	10084	NM_001080416	847	7	105,75,175,221,93,72,106	0,680,3143,4890,6610,9258,9978	Hs68	23249747
hsa_circ_24206	chr15:51240216-51250991|+	chr15:50948019-50958794|+	AP4E1	10775	NM_007347	675	4	140,113,119,303	0,1806,2031,10472	H9 hESCs,normal brain tissue,oligodendroma	25242744,26873924
hsa_circ_24309	chr2:208841374-208842310|-	chr2:207976650-207977586|-	PLEKHM3	936	NM_001080475	936	1	936	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_24381	chr11:18312988-18314523|-	chr11:18291441-18292976|-	HPS5	1535	NM_181508	656	2	578,78	0,1457	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_24412	chr15:72810407-72837305|+	chr15:72518066-72544964|+	ARIH1	26898	NM_005744	213	2	68,145	0,26753	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_24446	chr3:47663696-47719801|-	chr3:47622206-47678311|-	SMARCC1	56105	NM_003074	1324	10	135,155,115,56,162,259,60,114,154,114	0,12983,13815,16518,39087,40127,48451,53268,54422,55991	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_24450	chr11:6962801-6977013|+	chr11:6941570-6955782|+	ZNF215	14212	NM_013250	405	4	83,133,96,93	0,1512,1975,14119	H9 hESCs,Hs68	25242744,23249747
hsa_circ_24455	chr19:18650180-18650530|-	chr19:18539370-18539720|-	FKBP8	350	NM_012181	259	2	89,170	0,180	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,cd_34,neutr	25242744,26873924,23446348
hsa_circ_24511	chr4:2951660-2952972|-	chr4:2949933-2951245|-	NOP14	1312	NM_003703	412	2	280,132	0,1180	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_24549	chr7:80418621-80435074|-	chr7:80789305-80805758|-	SEMA3C	16453	NM_006379	816	6	223,145,70,115,143,120	0,8786,11451,13359,14800,16333	Hs68	23249747
hsa_circ_24576	chr3:196118683-196129890|-	chr3:196391812-196403019|-	UBXN7	11207	NM_015562	247	3	113,66,68	0,1741,11139	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_24659	chr16:48580057-48596355|-	chr16:48546146-48562444|-	N4BP1	16298	NM_153029	2135	5	108,108,97,131,1691	0,1860,5239,7392,14607	normal brain tissue	26873924
hsa_circ_24673	chr18:76856475-76886375|+	chr18:79096475-79126375|+	ATP9B	29900	NM_198531	548	4	174,151,114,109	0,13879,16765,29791	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_24735	chr19:4430545-4432204|+	chr19:4430548-4432207|+	CHAF1A	1659	NM_005483	349	2	93,256	0,1403	Hs68	23249747
hsa_circ_24812	chr5:76342171-76344812|+	chr5:77046346-77048987|+	AGGF1	2641	NM_018046	495	3	331,112,52	0,1814,2589	normal brain tissue,oligodendroma	26873924
hsa_circ_24844	chr18:51797729-51813781|+	chr18:54271359-54287411|+	POLI	16052	NM_007195	1083	7	126,165,153,237,179,92,131	0,2566,6343,9307,11477,12562,15921	normal brain tissue	26873924
hsa_circ_24872	chr8:135612678-135622898|-	chr8:134600435-134610655|-	ZFAT	10220	NM_020863	2027	4	233,1457,151,186	0,1041,8293,10034	H9 hESCs,Hs68	25242744,23249747
hsa_circ_24874	chr13:21619823-21620369|-	chr13:21045684-21046230|-	LATS2	546	NM_014572	546	1	546	0	H9 hESCs,glioblastoma	25242744,26873924
hsa_circ_24882	chr4:174169130-174169591|+	chr4:173247979-173248440|+	GALNT7	461	NM_017423	461	1	461	0	H9 hESCs,normal brain tissue,glioblastoma,HEK293,cd_19,cd_34,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_25060	chr7:158552176-158557544|-	chr7:158759485-158764853|-	ESYT2	5368	NM_020728	495	5	96,90,49,83,177	0,572,2010,3597,5191	normal brain tissue,glioblastoma,cd_19,cd_34,neutr,Hs68	26873924,23446348,23249747
hsa_circ_25153	chr9:95018961-95032265|-	chr9:92256679-92269983|-	IARS	13304	NM_013417	932	8	121,145,84,87,195,74,127,99	0,2174,3471,6289,8249,8800,11494,13205	H9 hESCs,Hs68	25242744,23249747
hsa_circ_25179	chr6:144858717-144860579|+	chr6:144537581-144539443|+	UTRN	1862	NM_007124	286	2	136,150	0,1712	normal brain tissue,oligodendroma,cd_19,Hs68,leukemia,leukocyte	26873924,23446348,23249747,22319583
hsa_circ_25344	chr2:171902683-171906684|-	chr2:171046173-171050174|-	TLK1	4001	NM_001136554	437	3	189,137,111	0,3640,3890	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_25395	chr1:180366650-180382606|-	chr1:180397515-180413471|-	ACBD6	15956	NM_032360	196	2	90,106	0,15850	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_25427	chr3:136136726-136141886|-	chr3:136417884-136423044|-	STAG1	5160	NM_005862	546	5	88,71,204,90,93	0,3208,4525,4883,5067	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_25494	chr17:5364258-5365866|-	chr17:5460938-5462546|-	DHX33	1608	NM_020162	399	2	171,228	0,1380	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_25648	chr6:84055891-84117620|-	chr6:83346172-83407901|-	ME1	61729	NM_002395	522	4	162,76,150,134	0,5891,52194,61595	normal brain tissue	26873924
hsa_circ_25678	chr3:113118752-113125888|-	chr3:113399905-113407041|-	WDR52	7136	NM_018338	679	6	95,100,48,156,165,115	0,639,1334,1678,3946,7021	normal brain tissue	26873924
hsa_circ_25783	chr2:97490794-97494871|+	chr2:96825057-96829134|+	CNNM3	4077	NM_017623	834	6	144,150,170,97,134,139	0,1775,2673,3041,3509,3938	normal brain tissue	26873924
hsa_circ_25819	chr13:49771012-49772710|+	chr13:49196876-49198574|+	FNDC3A	1698	NM_014923	761	4	114,150,284,213	0,848,1105,1485	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_25904	chr9:77611362-77632364|-	chr9:74996446-75017448|-	C9orf41	21002	NM_152420	794	5	114,179,141,164,196	0,2151,3283,19821,20806	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_25951	chr4:187627716-187630999|-	chr4:186706562-186709845|-	FAT1	3283	NM_005245	3283	1	3283	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293	25242744,26873924,23446348
hsa_circ_26108	chr1:155490890-155491409|-	chr1:155521099-155521618|-	ASH1L	519	NM_018489	519	1	519	0	normal brain tissue,glioblastoma	26873924
hsa_circ_26317	chr12:13906250-13906849|-	chr12:13753316-13753915|-	GRIN2B	599	NM_000834	599	1	599	0	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_26521	chrX:10491131-10535643|-	chrX:10523091-10567603|-	MID1	44512	NM_001098624	812	2	96,716	0,43796	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_26604	chr17:73238416-73239651|-	chr17:75242335-75243570|-	GGA3	1235	NM_014001	447	4	138,81,104,124	0,495,727,1111	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_26658	chr2:61597455-61647968|-	chr2:61370320-61420833|-	USP34	50513	NM_014709	1208	9	93,82,62,193,68,150,51,421,88	0,177,8042,9848,12948,24532,24862,35387,50425	normal brain tissue,oligodendroma	26873924
hsa_circ_26722	chr8:1824736-1857636|+	chr8:1876570-1909470|+	ARHGEF10	32900	NM_014629	1464	11	164,117,115,107,78,180,117,93,171,146,176	0,3477,6064,9030,16998,17822,19762,21862,26710,29000,32724	H9 hESCs	25242744
hsa_circ_26734	chr3:16327848-16345099|+	chr3:16286341-16303592|+	OXNAD1	17251	NM_138381	786	5	107,142,243,109,185	0,8514,15284,16298,17066	H9 hESCs,cd_34,neutr	25242744,23446348
hsa_circ_26738	chr1:205585605-205593019|-	chr1:205616477-205623891|-	ELK4	7414	NM_001973	1373	4	167,117,873,216	0,2479,3488,7198	H9 hESCs,cd_19	25242744,23446348
hsa_circ_26816	chr1:227327276-227335260|-	chr1:227139575-227147559|-	CDC42BPA	7984	NM_003607	697	4	167,80,249,201	0,3369,5913,7783	normal brain tissue,oligodendroma,Hs68	26873924,23249747
hsa_circ_26823	chr1:155385534-155429689|-	chr1:155415743-155459898|-	ASH1L	44155	NM_018489	1024	3	180,742,102	0,22583,44053	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_26832	chr7:40027197-40027857|+	chr7:39987598-39988258|+	CDK13	660	NM_003718	660	1	660	0	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_26844	chr5:38510565-38530768|-	chr5:38510463-38530666|-	LIFR	20203	NM_002310	1010	6	255,175,164,140,115,161	0,1326,12955,16691,18262,20042	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_26957	chr3:119582265-119595355|-	chr3:119863418-119876508|-	GSK3B	13090	NM_002093	322	3	187,39,96	0,3171,12994	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_26971	chr11:46515157-46570050|-	chr11:46493607-46548500|-	AMBRA1	54893	NM_001267782	2650	12	101,81,180,87,279,1037,147,67,173,184,59,255	0,516,14583,19119,24540,48337,49644,50367,51996,53505,54209,54638	Hs68	23249747
hsa_circ_27066	chr3:124996569-125050082|-	chr3:125277725-125331238|-	ZNF148	53513	NM_021964	900	6	84,124,126,349,136,81	0,1398,10377,35582,45583,53432	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_27135	chr19:5039846-5041262|+	chr19:5039835-5041251|+	KDM4B	1416	NM_015015	291	2	176,115	0,1301	H9 hESCs,Hs68	25242744,23249747
hsa_circ_27205	chr20:45891031-45912392|-	chr20:47262287-47283648|-	ZMYND8	21361	NM_012408	817	4	141,482,116,78	0,14026,19814,21283	H9 hESCs,normal brain tissue,oligodendroma	25242744,26873924
hsa_circ_27206	chr2:58449076-58459247|-	chr2:58221941-58232112|-	FANCL	10171	NM_001114636	278	4	101,57,61,59	0,4786,7872,10112	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_27251	chr15:93543741-93558139|+	chr15:93000511-93014909|+	CHD2	14398	NM_001271	898	6	129,141,135,179,100,214	0,1665,4105,8633,11833,14184	normal brain tissue,glioblastoma,oligodendroma,leukemia	26873924,22319583
hsa_circ_27278	chr15:67524151-67529158|-	chr15:67231813-67236820|-	AAGAB	5007	NM_001271885	462	4	84,90,97,191	0,4165,4594,4816	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_27395	chr4:1656704-1670632|-	chr4:1654977-1668905|-	FAM53A	13928	NM_001013622	1046	3	746,61,239	0,2430,13689	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_27405	chr6:86267693-86284096|-	chr6:85557975-85574378|-	SNX14	16403	uc003pkq.3	620	7	85,126,88,44,79,77,121	0,3239,7356,9558,14161,14322,16282	H9 hESCs,normal brain tissue,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_27489	chr9:86294689-86301070|-	chr9:83679774-83686155|-	UBQLN1	6381	NM_053067	531	3	263,116,152	0,3176,6229	H9 hESCs,Hs68	25242744,23249747
hsa_circ_27495	chr2:75745181-75749613|-	chr2:75518055-75522487|-	EVA1A	4432	NM_032181	276	2	153,123	0,4309	Hs68	23249747
hsa_circ_27557	chr16:18846213-18856973|-	chr16:18834891-18845651|-	SMG1	10760	NM_015092	2334	11	273,280,173,191,219,110,139,249,230,247,223	0,1041,1468,2361,3122,3465,3659,4806,6673,7316,10537	glioblastoma	26873924
hsa_circ_27586	chr5:6604250-6605521|-	chr5:6604137-6605408|-	NSUN2	1271	NM_017755	356	3	139,81,136	0,467,1135	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_27598	chr12:27521194-27533337|+	chr12:27368261-27380404|+	ARNTL2	12143	NM_020183	453	4	151,102,42,158	0,1867,8084,11985	H9 hESCs,Hs68	25242744,23249747
hsa_circ_27705	chr7:5413685-5417655|-	chr7:5374054-5378024|-	TNRC18	3970	NM_001080495	1077	5	430,191,147,206,103	0,1979,2792,3316,3867	Hs68	23249747
hsa_circ_27724	chr12:70193988-70195501|+	chr12:69800208-69801721|+	RAB3IP	1513	NM_001024647	242	2	129,113	0,1400	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_27799	chr1:146724277-146731572|+	chr1:147252622-147259918|+	CHD1L	7295	NR_046070	449	5	113,107,115,32,82	0,2247,3190,3907,7213	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_27848	chr2:36623756-36691798|+	chr2:36396613-36464655|+	CRIM1	68042	NM_016441	660	4	174,243,121,122	0,44644,46001,67920	H9 hESCs,Hs68	25242744,23249747
hsa_circ_27873	chr17:25630392-25638642|+	chr17:27303366-27311616|+	WSB1	8250	NM_015626	897	6	269,132,101,173,114,108	0,1413,3415,5733,6694,8142	H9 hESCs,Hs68	25242744,23249747
hsa_circ_27910	chr2:172193962-172196064|-	chr2:171337452-171339554|-	METTL8	2102	NM_024770	421	2	50,371	0,1731	H9 hESCs,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_28037	chr17:49278952-49280589|-	chr17:51201591-51203228|-	MBTD1	1637	NM_017643	485	4	105,56,235,89	0,430,1109,1548	normal brain tissue	26873924
hsa_circ_28089	chr10:102675755-102685776|+	chr10:100915998-100926019|+	FAM178A	10021	NM_018121	1902	5	44,731,58,998,71	0,571,2385,7976,9950	normal brain tissue	26873924
hsa_circ_28116	chr2:131883325-131897848|+	chr2:131125752-131140275|+	PLEKHB2	14523	NM_001267065	519	5	153,103,40,114,109	0,931,4968,7149,14414	oligodendroma	26873924
